stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
5010, ,Calea Dumbravii 1,,45.770484727466,24.138476997614,,0,
5058, ,Valea Aurie 1,,45.7680964305669,24.124898314476,,0,
3186, ,Tabacarie 2,,45.7990848895901,24.1973005235195,,0,
2085, ,Sembraz,,45.7953046104668,24.1839015483856,,0,
3190, ,Resita 2,,45.8081245418064,24.1648256778717,,0,
4078, ,Zavoi 1,,45.7763834667481,24.1069006919861,,0,
3051, ,Londra,,45.8166121961113,24.1284602880478,,0,
3176, ,Obor 1,,45.814466100866,24.149086475372,,0,
3022, ,Scandia 2,,45.7957777437834,24.2023283243179,,0,
5059, ,Valea Aurie 2,,45.768145076882,24.126012772322,,0,
5141, ,Siretului 1,,45.771957132174,24.140329062939,,0,
5050, ,Theodor Mihaly 1,,45.770842074493,24.125971198082,,0,
4189, ,Gradinita Continental,,45.7988558173978,24.0817201137543,,0,
3241, ,Viilor 1,,45.807810436388,24.185693264008,,0,
3021, ,Scandia 1,,45.795532762212,24.202773571014,,0,
2093, ,Compa Ii/2,,45.796703427785,24.177582263946,,0,
3191, ,Resita 3,,45.8088724047207,24.1692352294922,,0,
4079, ,Zavoi 3,,45.780109846273,24.108939170837,,0,
3048, ,Lisabona 1,,45.81462313503,24.129989147186,,0,
4090, ,Atlanta,,45.7952746888572,24.0855342149735,,0,
3187, ,Tabacarie 1,,45.798919396713,24.197114109993,,0,
1211, ,Constitutiei 1,,45.7971223181174,24.1584849357605,,0,
5110, ,Sacel 2,,45.7797207580465,24.1310513019562,,0,
1906, ,Frigoriferului 1,,45.8038727503368,24.1258317232132,,0,
5019, ,Dumbrava 1,,45.760208617848,24.126105308533,,0,
3101, ,Alecu Russo 1,,45.8057013969939,24.1719442605972,,0,
5143, ,Ciresica 1,,45.77252961957,24.147005081177,,0,
5252, ,Piata Sadu 1,,45.77326860605,24.128602445126,,0,
3184, ,Smardan 1,,45.809541733514,24.182163476944,,0,
9223, ,Podului  1,,45.791848558321,24.20768737793,,0,
2094, ,Otelarilor,,45.7997777103665,24.1725718975067,,0,
4076, ,Stavilarului 1,,45.781522566667,24.109984166667,,0,
3049, ,Landshut,,45.8150718016297,24.1352033615112,,0,
3110, ,Cema 1,,45.8044795012039,24.1897608339787,,0,
1082, ,Policlinica Stomatologica,,45.7945341238995,24.1598904132843,,0,
5103, ,Litovoi Voda,,45.7816512075613,24.1324996948242,,0,
3122, ,Rusciorului 1,,45.808582040481,24.149999432266,,0,
1907, ,Transcom 1,,45.7977020272227,24.1251504421234,,0,
5017, ,Cimitirul Eroilor 1,,45.766172060554,24.133068323135,,0,
3105, ,Calea Gusteritei 1,,45.8022534691394,24.1696214675903,,0,
5111, ,Cedonia,,45.7807944853089,24.1572323441505,,0,
5091, ,Calea Cisnadiei,,45.7746249481594,24.148662686348,,0,
5255, ,Piata Talmaciu 1,,45.775874624518,24.131126403809,,0,
2020, ,Eurofoam,,45.780094881391,24.1949254274368,,0,
2098, ,Libra 1,,45.8012736502714,24.1694927215576,,0,
4081, ,Asachi 1,,45.78392388949,24.112495779991,,0,
3041, ,Piata Tiglari 1,,45.813209811614,24.136769771576,,0,
2083, ,Trei Stejari 1,,45.790038159758,24.164900779724,,0,
1908, ,Frunzei 1,,45.7957496925131,24.1238388419151,,0,
5112, ,Luptei,,45.7824892113512,24.1622400283813,,0,
5095, ,Aleea Sevis,,45.7748195103911,24.1535657644272,,0,
5250, ,Scoala Militara 2,,45.778168119341,24.133449196816,,0,
2021, ,Greiner 1,,45.781232200943,24.193546772003,,0,
3221, ,Treboniu Laurean,,45.8003125134953,24.166594594717,,0,
2090, ,Strungului,,45.799985895865,24.168210038915,,0,
4107, ,Phoenix M.p. 1,,45.794167578007,24.088468551636,,0,
4084, ,Piata Iancu De Hunedoara 1,,45.78579125,24.115782916667,,0,
3044, ,Bariera Tiglari 1,,45.810839236255,24.137949943542,,0,
4117, ,Harting 1,,45.798880127144,24.086247682571,,0,
2081, ,Ceferistilor 1,,45.789708990064,24.170233011246,,0,
3015, ,Viile Sibiului 5,,45.829830916978,24.152852296829,,0,
5013, ,Tursib 1,,45.773087134328,24.14065361023,,0,
5094, ,Piata Rahova 1,,45.777455387577,24.15795519948,,0,
5514, ,Hategului,,45.7846365385699,24.1328859329224,,0,
2023, ,Retrasib 1,,45.789132938424,24.198417663574,,0,
2091, ,Compa 1,,45.7976683668589,24.1732907295227,,0,
4110, ,Aeroport 1,,45.790180300615,24.092931747436,,0,
4088, ,Scoala Generala Nr.10 / 1,,45.789348958487,24.118230342865,,0,
3042, ,Alimentara Tiglari 1,,45.809642693025,24.140417575836,,0,
4113, ,Biomin,,45.7972270402085,24.0869665145874,,0,
5117, ,Lamaitei,,45.7810750726491,24.1490435600281,,0,
5258, ,Scoala Generala Nr.16/ 1,,45.776578022844,24.140975475311,,0,
3103, ,Alimentara Gusterita 1,,45.810829888361,24.177729785442,,0,
2087, ,Viaduct Vasile Aaron,,45.788601768648,24.1749107837677,,0,
5104, ,Strand 1,,45.7907189363642,24.1340714693069,,0,
5056, ,Scoala Militara 1,,45.779262542725,24.136051177979,,0,
5215, ,Dima 1,,45.776858631403,24.143368005753,,0,
1114, ,Politie,,45.7885194742862,24.1525948047638,,0,
5175, ,Primavara,,45.7803530250351,24.1531205177307,,0,
5512, ,Biserica Strand,,45.7888336884684,24.1329288482666,,0,
2126, ,Irmes 1,,45.788575584092,24.191325902939,,0,
1213, ,Parcul Tineretului,,45.7965538233313,24.1586512327194,,0,
