route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
5,LV,5_19800_0_1_1,Gara,1,5.1
5,LV,5_20400_0_1_2,Gara,1,5.1
5,LV,5_21000_0_1_3,Gara,1,5.1
5,LV,5_21600_0_1_4,Gara,1,5.1
5,LV,5_22200_0_1_1,Gara,1,5.1
5,LV,5_22800_0_1_2,Gara,1,5.1
5,LV,5_23400_0_1_3,Gara,1,5.1
5,LV,5_24000_0_1_4,Gara,1,5.1
5,LV,5_24600_0_1_1,Gara,1,5.1
5,LV,5_25200_0_1_2,Gara,1,5.1
5,LV,5_25800_0_1_3,Gara,1,5.1
5,LV,5_26400_0_1_4,Gara,1,5.1
5,LV,5_27000_0_1_1,Gara,1,5.1
5,LV,5_27300_0_1_5,Gara,1,5.1
5,LV,5_27600_0_1_2,Gara,1,5.1
5,LV,5_28200_0_1_3,Gara,1,5.1
5,LV,5_29040_0_1_4,Gara,1,5.1
5,LV,5_29640_0_1_1,Gara,1,5.1
5,LV,5_30540_0_1_2,Gara,1,5.1
5,LV,5_31440_0_1_3,Gara,1,5.1
5,LV,5_32340_0_1_4,Gara,1,5.1
5,LV,5_33240_0_1_1,Gara,1,5.1
5,LV,5_34140_0_1_2,Gara,1,5.1
5,LV,5_35040_0_1_3,Gara,1,5.1
5,LV,5_35940_0_1_4,Gara,1,5.1
5,LV,5_37320_0_1_1,Gara,1,5.1
5,LV,5_38640_0_1_2,Gara,1,5.1
5,LV,5_39540_0_1_3,Gara,1,5.1
5,LV,5_40440_0_1_4,Gara,1,5.1
5,LV,5_41340_0_1_1,Gara,1,5.1
5,LV,5_42240_0_1_2,Gara,1,5.1
5,LV,5_43140_0_1_3,Gara,1,5.1
5,LV,5_44040_0_1_4,Gara,1,5.1
5,LV,5_44940_0_1_1,Gara,1,5.1
5,LV,5_45840_0_1_2,Gara,1,5.1
5,LV,5_46740_0_1_3,Gara,1,5.1
5,LV,5_47640_0_1_4,Gara,1,5.1
5,LV,5_48540_0_1_1,Gara,1,5.1
5,LV,5_49440_0_1_2,Gara,1,5.1
5,LV,5_50340_0_1_3,Gara,1,5.1
5,LV,5_51240_0_1_4,Gara,1,5.1
5,LV,5_52140_0_1_1,Gara,1,5.1
5,LV,5_53040_0_1_2,Gara,1,5.1
5,LV,5_53940_0_1_3,Gara,1,5.1
5,LV,5_54840_0_1_4,Gara,1,5.1
5,LV,5_55740_0_1_1,Gara,1,5.1
5,LV,5_56640_0_1_2,Gara,1,5.1
5,LV,5_57540_0_1_3,Gara,1,5.1
5,LV,5_58440_0_1_4,Gara,1,5.1
5,LV,5_59340_0_1_1,Gara,1,5.1
5,LV,5_60240_0_1_2,Gara,1,5.1
5,LV,5_61140_0_1_3,Gara,1,5.1
5,LV,5_62040_0_1_4,Gara,1,5.1
5,LV,5_63420_0_1_1,Gara,1,5.1
5,LV,5_64740_0_1_2,Gara,1,5.1
5,LV,5_65640_0_1_3,Gara,1,5.1
5,LV,5_66540_0_1_4,Gara,1,5.1
5,LV,5_67440_0_1_1,Gara,1,5.1
5,LV,5_68340_0_1_2,Gara,1,5.1
5,LV,5_69240_0_1_3,Gara,1,5.1
5,LV,5_70140_0_1_4,Gara,1,5.1
5,LV,5_71040_0_1_1,Gara,1,5.1
5,LV,5_71940_0_1_2,Gara,1,5.1
5,LV,5_72840_0_1_3,Gara,1,5.1
5,LV,5_73740_0_1_4,Gara,1,5.1
5,LV,5_74640_0_1_1,Gara,1,5.1
5,LV,5_75540_0_1_2,Gara,1,5.1
5,LV,5_77340_0_1_4,Gara,1,5.1
5,LV,5_79140_0_1_2,Gara,1,5.1
5,LV,5_80400_0_1_4,Gara,1,5.1
5,LV,5_81600_0_1_2,Gara,1,5.1
5,LV,5_82800_0_1_4,Gara,1,5.1
5,LV,5_84000_0_1_2,Gara,1,5.1
5,LV,5_20400_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_21000_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_21600_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_22200_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_22800_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_23400_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_24000_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_24600_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_25200_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_25800_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_26400_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_27000_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_27660_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_28260_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_28860_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_29580_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_30480_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_31380_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_32280_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_33180_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_34380_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_35700_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_36600_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_37500_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_38400_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_39480_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_40380_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_41280_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_42180_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_43080_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_43980_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_44880_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_45780_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_46680_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_47580_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_48480_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_49380_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_50280_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_51180_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_52080_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_52980_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_53880_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_54780_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_55680_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_56580_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_57480_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_58380_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_59280_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_60480_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_61800_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_62700_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_63600_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_64500_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_65580_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_66480_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_67380_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_68280_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_69180_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_70080_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_70980_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_71880_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_72780_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_73680_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_74580_0_0_3,Valea Aurie 1,0,5.0
5,LV,5_75480_0_0_4,Valea Aurie 1,0,5.0
5,LV,5_76380_0_0_1,Valea Aurie 1,0,5.0
5,LV,5_77280_0_0_2,Valea Aurie 1,0,5.0
5,LV,5_79080_0_0_4,Valea Aurie 1,0,5.0
